year,CAP,CAP_W,RET_total,SPREAD_PC_median,FF30,EXCHCD,notPERMNO
2018,204029.1,297554.8,-26.930351,2.0491803,Fin,3,16
2018,2185325.38,23880.84,1508.8899,7.518797,Other,3,490
2018,1323856.26,1364169.98,-33.741596,2.087108,Trans,1,302
2018,10528295.31,,-4.258398,2.2058823,Fin,1,128
2018,2087666.7,988123.5,111.07217,2.4539878,Servs,1,369
2018,2420676.4,2555034.24,-20.075441,3.5178237,Servs,1,736
2018,479342.88,475888.6,-8.592416,2.6726058,Other,3,556
2018,3804561.06,,2.6943538,2.847614,Util,1,783
2018,482459.9,442938.87,2.5286682,3.9171374,Rtail,1,687
2018,209762.7,139618.46,36.442852,3.5250463,Servs,2,686
2018,574494.14,539242.8,11.305053,1.9529517,Other,3,635
2018,1939082.29,1227216.52,62.786114,3.1380754,Games,1,372
2018,1805203.4,,-5.578411,2.7251184,Fin,1,586
2018,537883.1,700321.0,-33.157753,4.3855643,Other,3,475
2018,109941.15,293664.4,-64.466446,5.455755,Hlth,3,25
2018,72753.92,77465.128,3.386778,1.4455782,Other,3,230
2018,32427.4956,41263.10000000001,-13.539286,4.454343,Rtail,1,21
2018,948547.72,2095608.54,-55.4084,4.3812103,Other,3,286
2018,605557.5,709734.0,-13.155962,2.1042564,Fin,3,97
2018,1632856.08,1961423.42,-14.77267,2.6953511,Other,3,319
2018,1886996.1,2016328.0,-35.022316,2.840909,Fin,1,373
2018,469576.8,855681.2000000002,-42.259525,3.0172737,Books,1,132
2018,1002433.5,1382281.11,-32.93469,3.8413877,Rtail,1,688
2018,1647458.66,520509.15,-3.0904925,2.3977432,Fin,1,388
2018,525680.33,451599.75,14.640628,4.404762,Hlth,3,27
2018,460560.8,585471.75,-22.362968,2.7707808,Chems,1,69
2018,100355.31,96334.5966,6.5494285,2.002451,Fin,3,52
2018,1040256.0,1697630.0,-38.81384,2.9290667,Other,3,440
2018,571177.2200000001,604952.66,-6.9887357,5.4923306,Other,3,784
2018,87396.09,112915.52,-20.055807,2.910053,Hlth,3,68
2018,2526888.3600000003,3216355.2,-16.098429,1.993865,Servs,1,540
2018,714410.7000000002,737489.25,-2.4925265,2.4289405,Other,3,345
2018,65594.88,57423.52,13.406561,2.0843203,Other,3,735
2018,46211.08,52020.0,-8.650098,1.4962593,Other,3,700
2018,625254.05,790579.04,-21.340096,4.733433,Other,3,511
2018,1499319.0,1944292.02,-21.276833,2.631579,Trans,3,53
2018,457732.52,627496.35,-27.31478,4.664723,Other,3,557
2018,2135190.3,4384413.3100000005,-44.026154,3.0289917,Rtail,3,612
2018,2977709.85,5997008.0,-50.578762,2.9778018,Oil,1,462
2018,319981.54,170876.25,56.979027,5.5374594,Other,3,610
2018,201419.25,204970.35,-23.211107,2.1052632,Fin,3,235
2018,11920497.84,14384811.52,-14.355032,3.1160116,Oil,1,717
2018,6320984.09,6702213.1400000015,-3.0555294,2.101293,Fin,1,504
2018,1825728.24,2103011.4,-5.164098,2.2481503,Other,3,455
2018,1183794.15,1028806.0,4.9999127,3.2122905,Other,3,489
2018,1104674.75,1599515.2800000003,-27.718853,2.7542372,Whlsl,1,290
2018,927956.9,897045.7599999999,3.4304485,2.6526835,Other,3,606
2018,781592.6399999999,723510.48,7.8846946,2.4801588,Fin,3,392
2018,614000.07,542697.32,7.040431,3.0714707,Servs,1,499
2018,543799.65,885014.65,-47.03542,3.0551755,Chems,1,604
2018,398309.86,487183.75,-15.123271,2.78481,Other,3,681
2018,5444439.0,6481420.0,-19.77196,1.6958425,Fin,3,140
2018,125190.63,104700.0,17.532988,4.0625,BusEq,3,121
2018,572218.5599999999,708376.32,-30.636494,2.1249194,Other,3,713
2018,2697171.4,2653098.0,-9.229972,2.0325203,Fin,3,139
