RET,date_m,year,notPERMNO
-0.053096,202001,2020,26
-0.090909,202002,2020,26
-0.0868,202003,2020,26
0.215506,202004,2020,26
0.009369,202005,2020,26
-0.036059,202006,2020,26
0.051852,202007,2020,26
-0.030986,202008,2020,26
-0.12064,202009,2020,26
0.120661,202010,2020,26
-0.004425,202011,2020,26
0.496296,202012,2020,26
0.077683,201901,2019,27
-0.090409,201902,2019,27
-0.13499,201903,2019,27
-0.13354,201904,2019,27
-0.146057,201905,2019,27
0.048269,201906,2019,27
-0.173173,201907,2019,27
0.322034,201908,2019,27
0.057692,201909,2019,27
-0.15974,201910,2019,27
0.097372,201911,2019,27
0.142723,201912,2019,27
-0.27198,202001,2020,27
-0.125282,202002,2020,27
-0.202581,202003,2020,27
0.299353,202004,2020,27
-0.039851,202005,2020,27
-0.007782,202006,2020,27
0.24902,202007,2020,27
0.084249,202008,2020,27
-0.092664,202009,2020,27
0.459575,202010,2020,27
0.136993,201901,2019,28
0.040162,201902,2019,28
-0.096507,201903,2019,28
0.069599,201904,2019,28
-0.131948,201905,2019,28
0.090766,201906,2019,28
0.028379,201907,2019,28
0.226234,201901,2019,29
0.030794,201902,2019,29
-0.0076,201903,2019,29
-0.107256,201904,2019,29
-0.123702,201905,2019,29
0.106354,201906,2019,29
0.003993,201907,2019,29
-0.15234,201908,2019,29
0.126812,201909,2019,29
0.128296,201910,2019,29
0.070675,201911,2019,29
0.121196,201912,2019,29
-0.018095,202001,2020,29
-0.089476,202002,2020,29
-0.065779,202003,2020,29
0.146983,202004,2020,29
0.06183,202005,2020,29
0.09016,202006,2020,29
-0.0393,202007,2020,29
0.187458,202008,2020,29
0.029021,202009,2020,29
-0.063594,202010,2020,29
0.143898,202011,2020,29
-0.002069,202012,2020,29
0.004461,201901,2019,30
0.000716,201902,2019,30
0.00129,201903,2019,30
0.001002,201904,2019,30
0.114421,201901,2019,31
0.048906,201902,2019,31
-0.011005,201903,2019,31
-0.016398,201904,2019,31
-0.055821,201905,2019,31
0.118006,201906,2019,31
0.066602,201907,2019,31
-0.014178,201908,2019,31
0.080171,201909,2019,31
0.036544,201910,2019,31
0.007123,201911,2019,31
-0.010065,201912,2019,31
0.015389,202001,2020,31
-0.088443,202002,2020,31
0.079167,202003,2020,31
0.108935,202004,2020,31
0.152044,202005,2020,31
-0.0582,202006,2020,31
0.01252,202007,2020,31
0.046038,202008,2020,31
-0.087372,202009,2020,31
-0.092403,202010,2020,31
0.051815,202011,2020,31
-0.017004,202012,2020,31
0.145716,201901,2019,32
0.060648,201902,2019,32
0.006847,201903,2019,32
0.134463,201904,2019,32
-0.046598,201905,2019,32
0.035252,201906,2019,32
0.000659,201907,2019,32
-0.056828,201908,2019,32
0.004541,201909,2019,32
0.037456,201910,2019,32
0.051889,201911,2019,32
0.033685,201912,2019,32
-0.146372,202001,2020,32
-0.177089,202002,2020,32
-0.420044,202003,2020,32
0.181749,202004,2020,32
0.036187,202005,2020,32
0.01715,202006,2020,32
-0.19344,202007,2020,32
0.278981,202008,2020,32
-0.11263,202009,2020,32
-0.027796,202010,2020,32
0.478815,202011,2020,32
-0.06103,202012,2020,32
0.102369,201901,2019,33
0.01045,201902,2019,33
-0.071805,201903,2019,33
0.065588,201904,2019,33
-0.082265,201905,2019,33
0.198839,201906,2019,33
-0.110992,201907,2019,33
-0.007866,201908,2019,33
-0.023785,201909,2019,33
0.078301,201910,2019,33
-0.036307,201911,2019,33
-0.001804,201912,2019,33
-0.049588,202001,2020,33
-0.044571,202002,2020,33
-0.049304,202003,2020,33
0.011395,202004,2020,33
-0.090596,202005,2020,33
0.026043,202006,2020,33
-0.035978,202007,2020,33
0.050102,202008,2020,33
0.014362,202009,2020,33
-0.029038,202010,2020,33
0.131735,202011,2020,33
-0.005241,202012,2020,33
0.602564,201901,2019,34
-0.048,201902,2019,34
-0.092437,201903,2019,34
0.467593,201904,2019,34
-0.07571,201905,2019,34
0.136519,201906,2019,34
0.063063,201907,2019,34
0.271186,201908,2019,34
-0.288889,201909,2019,34
0.09375,201910,2019,34
-0.091429,201911,2019,34
-0.053459,201912,2019,34
0.106312,202001,2020,34
-0.069069,202002,2020,34
-0.245161,202003,2020,34
0.286325,202004,2020,34
0.478405,202005,2020,34
-0.08764,202006,2020,34
-0.167488,202007,2020,34
-0.31361,202008,2020,34
0.163793,202009,2020,34
-0.040741,202010,2020,34
0.131274,202011,2020,34
-0.040956,202012,2020,34
0.256286,201901,2019,35
0.218013,201902,2019,35
-0.030164,201903,2019,35
0.088346,201904,2019,35
-0.193929,201905,2019,35
0.167333,201906,2019,35
0.002718,201907,2019,35
-0.029228,201908,2019,35
0.079398,201909,2019,35
0.115285,201910,2019,35
0.037717,201911,2019,35
0.015646,201912,2019,35
0.049182,202001,2020,35
-0.236024,202002,2020,35
-0.45601,202003,2020,35
0.128154,202004,2020,35
0.220774,202005,2020,35
0.205386,202006,2020,35
0.065697,202007,2020,35
0.085339,202008,2020,35
-0.1024,202009,2020,35
0.051821,202010,2020,35
0.059315,202011,2020,35
0.072449,202012,2020,35
-0.071429,201901,2019,36
-0.196581,201902,2019,36
-0.107021,201903,2019,36
-0.142006,201904,2019,36
-0.154402,201905,2019,36
-0.178982,201906,2019,36
0.18,201907,2019,36
-0.368678,201908,2019,36
